"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","88","1894","1679","1124","1028"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","201","4343","3827","1124","1028"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","126","2710","2554","1124","1028"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","26","558","440","1124","1028"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","34","738","594","1124","1028"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","25","533","429","1124","1028"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","199","4287","3882","1124","1028"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","955","1297063","1233345","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","18","24166","21252","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","12","15676","13521","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","412","559998","531490","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","215","292140","280811","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","7","9956","7725","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","4813","4188","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","843","808","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","42","57106","52849","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","7","9556","9390","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","2","3255","2905","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","18","25031","22024","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","10","13968","12758","70848","70583"
"Average trips per year by mode of transport","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","206","280555","273624","70848","70583"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2009-2013","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
