"Title","Writing attainments for children aged 7 to 11 (key stage 2)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 2 statistics"
"Department","Department for Education"
"Last update","12 January 2017 (revised)"
"
"
Measure,Year,Year_type,Region,Local Authority,LA Code,Ethnicity,Ethnicity type,Gender,Gender_type,Value,Value_type,Denominator
Percentage of pupils reaching the expected standard in writing by ethnicity ,2015 to 2016,Academic year,England,All,E92000001,All,All,All,All/Boys/Girls,74,%,"585,577"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barking and Dagenham,E09000002,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,964
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Barnet,E09000003,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,65,%,483
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bexley,E09000004,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,517
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Brent,E09000005,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,71,%,934
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Bromley,E09000006,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,352
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Croydon,E09000008,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,"1,290"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Ealing,E09000009,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,698
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Enfield,E09000010,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,"1,040"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Greenwich,E09000011,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,"1,054"
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Harrow,E09000015,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,330
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Havering,E09000016,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,85,%,307
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hillingdon,E09000017,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,76,%,372
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Hounslow,E09000018,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,334
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Kingston upon Thames,E09000021,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,58,%,52
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Merton,E09000024,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,348
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Redbridge,E09000026,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,497
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Richmond upon Thames,E09000027,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,62,%,69
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Sutton,E09000029,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,83,%,155
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,London,Waltham Forest,E09000031,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,81,%,640
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Bracknell Forest,E06000036,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,37
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Brighton and Hove,E06000043,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,63,%,63
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Buckinghamshire,E10000002,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,65,%,141
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,East Sussex,E10000011,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,72,%,36
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Hampshire,E10000014,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,84,%,152
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Isle of Wight,E06000046,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,0
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Kent,E10000016,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,87,%,359
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Medway,E06000035,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,92,%,154
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Milton Keynes,E06000042,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,453
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Oxfordshire,E10000025,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,58,%,151
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Portsmouth,E06000044,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,66,%,64
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Reading,E06000038,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,74,%,135
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Slough,E06000039,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,78,%,208
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Southampton,E06000045,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,92,%,63
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Surrey,E10000030,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,158
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Berkshire,E06000037,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,63,%,19
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,West Sussex,E10000032,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,61,%,132
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Windsor and Maidenhead,E06000040,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,15
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South East,Wokingham,E06000041,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,45
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bath and North East Somerset,E06000022,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,50,%,14
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Bournemouth,E06000028,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,14
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,"Bristol, City of",E06000023,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,64,%,477
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Cornwall,E06000052,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,100,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Devon,E10000008,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,50,%,18
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Dorset,E10000009,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,6
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Gloucestershire,E10000013,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,67,%,79
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Isles of Scilly,E06000053,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,0
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,North Somerset,E06000024,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,57,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Plymouth,E06000026,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,15
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Poole,E06000029,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,4
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Somerset,E10000027,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,12
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,South Gloucestershire,E06000025,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,69,%,36
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Swindon,E06000030,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,67,%,69
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Torbay,E06000027,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,South West,Wiltshire,E06000054,Black,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,63,%,49
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,County Durham,E06000047,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,16
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Darlington,E06000005,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Gateshead,E08000037,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,4
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Hartlepool,E06000001,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,6
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Middlesbrough,E06000002,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Newcastle upon Tyne,E08000021,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,73,%,15
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,North Tyneside,E08000022,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,100,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Northumberland,E06000057,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,4
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Redcar and Cleveland,E06000003,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,4
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,South Tyneside,E08000023,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,0
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Stockton-on-Tees,E06000004,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,8
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North East,Sunderland,E08000024,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Blackburn with Darwen,E06000008,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,5
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Blackpool,E06000009,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,4
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Bolton,E08000001,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,100,%,6
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Bury,E08000002,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,10
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cheshire East,E06000049,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,67,%,12
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cheshire West and Chester,E06000050,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,10
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Cumbria,E10000006,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,79,%,14
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Halton,E06000006,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,!
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Knowsley,E08000011,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,3
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Lancashire,E10000017,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,88,%,33
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Liverpool,E08000012,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,80,%,49
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Manchester,E08000003,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,75,%,57
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Oldham,E08000004,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Rochdale,E08000005,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,8
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Salford,E08000006,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,100,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Sefton,E08000014,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,5
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,St. Helens,E08000013,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,57,%,7
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Stockport,E08000007,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,!,%,19
Percentage of pupils reaching the expected standard in writing,2015 to 2016,Academic year,North West,Tameside,E08000008,Chinese,White/Asian/Black/Mixed/Chinese,All,All/Boys/Girls,57,%,7
